competition,match_id,match_date,stage,home_team,away_team,home_score,away_score,result
wc2022,3857276,2022-12-01,Group Stage,Canada,Morocco,1,2,away
wc2022,3857271,2022-11-21,Group Stage,England,Iran,6,2,home
wc2022,3857296,2022-12-01,Group Stage,Croatia,Belgium,0,0,draw
wc2022,3857274,2022-11-25,Group Stage,Netherlands,Ecuador,1,1,draw
wc2022,3857255,2022-12-01,Group Stage,Japan,Spain,2,1,home
wc2022,3857272,2022-11-25,Group Stage,England,United States,0,0,draw
wc2022,3857278,2022-11-29,Group Stage,Iran,United States,0,1,away
wc2022,3857277,2022-11-23,Group Stage,Morocco,Croatia,0,0,draw
wc2022,3857273,2022-11-25,Group Stage,Wales,Iran,0,2,away
wc2022,3857275,2022-11-30,Group Stage,Tunisia,France,1,0,home
wc2022,3857261,2022-11-29,Group Stage,Wales,England,0,3,away
wc2022,3857290,2022-11-24,Group Stage,Switzerland,Cameroon,1,0,home
wc2022,3857298,2022-11-24,Group Stage,Portugal,Ghana,3,2,home
wc2022,3857285,2022-11-21,Group Stage,Senegal,Netherlands,0,2,away
wc2022,3857282,2022-11-21,Group Stage,United States,Wales,1,1,draw
wc2022,3857297,2022-11-26,Group Stage,Poland,Saudi Arabia,2,0,home
wc2022,3857294,2022-11-29,Group Stage,Netherlands,Qatar,2,0,home
wc2022,3857266,2022-11-26,Group Stage,France,Denmark,2,1,home
wc2022,3857284,2022-11-23,Group Stage,Germany,Japan,1,2,away
wc2022,3857254,2022-11-22,Group Stage,Denmark,Tunisia,0,0,draw
wc2022,3857265,2022-11-22,Group Stage,Mexico,Poland,0,0,draw
wc2022,3857301,2022-11-25,Group Stage,Qatar,Senegal,1,3,away
wc2022,3857268,2022-11-23,Group Stage,Belgium,Canada,1,0,home
wc2022,3857269,2022-11-28,Group Stage,Brazil,Switzerland,1,0,home
wc2022,3869321,2022-12-09,Quarter-finals,Netherlands,Argentina,2,2,draw
wc2022,3857292,2022-12-01,Group Stage,Costa Rica,Germany,2,4,away
wc2022,3857295,2022-11-27,Group Stage,Japan,Costa Rica,0,1,away
wc2022,3869685,2022-12-18,Final,Argentina,France,3,3,draw
wc2022,3869684,2022-12-17,3rd Place Final,Croatia,Morocco,2,1,home
wc2022,3857256,2022-12-02,Group Stage,Serbia,Switzerland,2,3,away
wc2022,3869151,2022-12-03,Round of 16,Argentina,Australia,2,1,home
wc2022,3857257,2022-11-30,Group Stage,Australia,Denmark,1,0,home
wc2022,3857258,2022-11-24,Group Stage,Brazil,Serbia,2,0,home
wc2022,3857288,2022-11-26,Group Stage,Tunisia,Australia,0,1,away
wc2022,3857267,2022-11-29,Group Stage,Ecuador,Senegal,1,2,away
wc2022,3857287,2022-11-24,Group Stage,Uruguay,South Korea,0,0,draw
wc2022,3869486,2022-12-10,Quarter-finals,Morocco,Portugal,1,0,home
wc2022,3857260,2022-11-30,Group Stage,Saudi Arabia,Mexico,1,2,away
wc2022,3857264,2022-11-30,Group Stage,Poland,Argentina,0,2,away
wc2022,3857289,2022-11-26,Group Stage,Argentina,Mexico,2,0,home
wc2022,3869254,2022-12-06,Round of 16,Portugal,Switzerland,6,1,home
wc2022,3869118,2022-12-04,Round of 16,England,Senegal,3,0,home
wc2022,3869519,2022-12-13,Semi-finals,Argentina,Croatia,3,0,home
wc2022,3869354,2022-12-10,Quarter-finals,England,France,1,2,away
wc2022,3869552,2022-12-14,Semi-finals,France,Morocco,2,0,home
wc2022,3869420,2022-12-09,Quarter-finals,Croatia,Brazil,1,1,draw
wc2022,3869220,2022-12-06,Round of 16,Morocco,Spain,0,0,draw
wc2022,3869219,2022-12-05,Round of 16,Japan,Croatia,1,1,draw
wc2022,3869253,2022-12-05,Round of 16,Brazil,South Korea,4,1,home
wc2022,3869152,2022-12-04,Round of 16,France,Poland,3,1,home
wc2022,3869117,2022-12-03,Round of 16,Netherlands,United States,3,1,home
wc2022,3857270,2022-11-28,Group Stage,Portugal,Uruguay,2,0,home
wc2022,3857263,2022-11-27,Group Stage,Spain,Germany,1,1,draw
wc2022,3857259,2022-11-28,Group Stage,Cameroon,Serbia,3,3,draw
wc2022,3857283,2022-11-27,Group Stage,Belgium,Morocco,0,2,away
wc2022,3857286,2022-11-20,Group Stage,Qatar,Ecuador,0,2,away
wc2022,3857300,2022-11-22,Group Stage,Argentina,Saudi Arabia,1,2,away
wc2022,3857299,2022-11-28,Group Stage,South Korea,Ghana,2,3,away
wc2022,3857293,2022-12-02,Group Stage,Ghana,Uruguay,0,2,away
wc2022,3857291,2022-11-23,Group Stage,Spain,Costa Rica,7,0,home
wc2022,3857281,2022-11-27,Group Stage,Croatia,Canada,4,1,home
wc2022,3857280,2022-12-02,Group Stage,Cameroon,Brazil,1,0,home
wc2022,3857279,2022-11-22,Group Stage,France,Australia,4,1,home
wc2022,3857262,2022-12-02,Group Stage,South Korea,Portugal,2,1,home
