competition,match_id,match_date,stage,team,opponent,player,position,period,minute,second,play_pattern,shot_type,body_part,technique,first_time,under_pressure,one_on_one,statsbomb_xg,outcome,goal
wc2022,3857276,2022-12-01,Group Stage,Canada,Morocco,Mark Anthony Kaye,Left Defensive Midfield,1,2,5,Regular Play,Open Play,Left Foot,Normal,True,True,False,0.038882375,Blocked,False
wc2022,3857276,2022-12-01,Group Stage,Morocco,Canada,Hakim Ziyech,Right Wing,1,3,29,From Throw In,Open Play,Left Foot,Lob,True,False,False,0.024477394,Goal,True
wc2022,3857276,2022-12-01,Group Stage,Morocco,Canada,Abdelhamid Sabiri,Left Center Midfield,1,8,18,From Free Kick,Free Kick,Right Foot,Normal,False,False,False,0.02207015,Blocked,False
wc2022,3857276,2022-12-01,Group Stage,Morocco,Canada,Sofiane Boufal,Left Wing,1,9,9,From Corner,Open Play,Left Foot,Half Volley,False,False,False,0.06158555,Wayward,False
wc2022,3857276,2022-12-01,Group Stage,Canada,Morocco,Tajon Buchanan,Left Midfield,1,14,7,From Counter,Open Play,Right Foot,Half Volley,True,False,False,0.27914461,Off T,False
wc2022,3857276,2022-12-01,Group Stage,Morocco,Canada,Hakim Ziyech,Right Wing,1,15,6,From Goal Kick,Open Play,Left Foot,Normal,False,False,False,0.022624016,Off T,False
wc2022,3857276,2022-12-01,Group Stage,Morocco,Canada,Youssef En-Nesyri,Center Forward,1,22,36,From Throw In,Open Play,Right Foot,Half Volley,False,False,True,0.10405799,Goal,True
wc2022,3857276,2022-12-01,Group Stage,Morocco,Canada,Abdelhamid Sabiri,Left Center Midfield,1,32,45,Regular Play,Open Play,Right Foot,Normal,True,False,False,0.09711841,Blocked,False
wc2022,3857276,2022-12-01,Group Stage,Morocco,Canada,Youssef En-Nesyri,Center Forward,1,47,18,From Free Kick,Open Play,Right Foot,Volley,True,False,False,0.094470315,Wayward,False
wc2022,3857276,2022-12-01,Group Stage,Canada,Morocco,Alphonso Davies,Center Attacking Midfield,2,57,6,Regular Play,Open Play,Left Foot,Volley,True,False,False,0.051903803,Off T,False
wc2022,3857276,2022-12-01,Group Stage,Canada,Morocco,Atiba Hutchinson,Left Defensive Midfield,2,70,55,From Corner,Open Play,Head,Normal,False,True,False,0.086874224,Post,False
wc2022,3857276,2022-12-01,Group Stage,Canada,Morocco,Alistair Johnston,Right Back,2,70,57,From Corner,Open Play,Head,Normal,False,True,False,0.638813,Off T,False
wc2022,3857271,2022-11-21,Group Stage,England,Iran,Harry Maguire,Left Center Back,1,7,15,From Free Kick,Open Play,Left Foot,Half Volley,True,False,False,0.23307544,Off T,False
wc2022,3857271,2022-11-21,Group Stage,England,Iran,Bukayo Saka,Right Wing,1,26,58,Regular Play,Open Play,Left Foot,Normal,False,False,False,0.028282227,Saved,False
wc2022,3857271,2022-11-21,Group Stage,England,Iran,Mason Mount,Center Attacking Midfield,1,29,8,From Free Kick,Open Play,Right Foot,Normal,True,False,False,0.06697492,Off T,False
wc2022,3857271,2022-11-21,Group Stage,England,Iran,Harry Maguire,Left Center Back,1,31,47,From Corner,Open Play,Head,Normal,False,True,False,0.06988547,Post,False
wc2022,3857271,2022-11-21,Group Stage,England,Iran,Jude Bellingham,Right Defensive Midfield,1,34,9,Regular Play,Open Play,Head,Normal,False,True,False,0.08285139,Goal,True
wc2022,3857271,2022-11-21,Group Stage,England,Iran,Bukayo Saka,Right Wing,1,42,46,From Corner,Open Play,Left Foot,Half Volley,True,False,False,0.061030492,Goal,True
wc2022,3857271,2022-11-21,Group Stage,England,Iran,Raheem Sterling,Left Wing,1,45,17,Regular Play,Open Play,Right Foot,Volley,True,False,False,0.1885282,Goal,True
wc2022,3857271,2022-11-21,Group Stage,Iran,England,Alireza Jahanbakhsh,Right Wing,1,55,4,Regular Play,Open Play,Right Foot,Volley,True,False,False,0.11232807,Off T,False
wc2022,3857271,2022-11-21,Group Stage,England,Iran,Kieran Trippier,Right Back,2,50,11,From Free Kick,Free Kick,Right Foot,Normal,False,False,False,0.042866398,Blocked,False
wc2022,3857271,2022-11-21,Group Stage,England,Iran,Luke Shaw,Left Back,2,58,56,From Free Kick,Open Play,Left Foot,Normal,True,False,False,0.021548782,Blocked,False
wc2022,3857271,2022-11-21,Group Stage,Iran,England,Saeid Ezatolahi Afagh,Left Defensive Midfield,2,60,16,Regular Play,Open Play,Right Foot,Normal,False,False,False,0.0065368367,Off T,False
wc2022,3857271,2022-11-21,Group Stage,England,Iran,Bukayo Saka,Right Wing,2,61,26,Regular Play,Open Play,Left Foot,Normal,False,False,False,0.080026746,Goal,True
wc2022,3857271,2022-11-21,Group Stage,Iran,England,Mehdi Taremi,Center Forward,2,64,33,From Throw In,Open Play,Right Foot,Normal,True,True,False,0.065701395,Goal,True
wc2022,3857271,2022-11-21,Group Stage,Iran,England,Mehdi Torabi,Left Attacking Midfield,2,69,3,From Throw In,Open Play,Right Foot,Normal,False,False,False,0.045791544,Blocked,False
wc2022,3857271,2022-11-21,Group Stage,Iran,England,Ahmad Nourollahi,Right Defensive Midfield,2,69,5,From Throw In,Open Play,Left Foot,Volley,True,False,False,0.028478073,Off T,False
wc2022,3857271,2022-11-21,Group Stage,England,Iran,Marcus Rashford,Right Wing,2,70,51,From Goal Kick,Open Play,Left Foot,Normal,False,False,False,0.40810898,Goal,True
wc2022,3857271,2022-11-21,Group Stage,Iran,England,Mehdi Taremi,Center Forward,2,76,20,From Counter,Open Play,Right Foot,Half Volley,True,True,False,0.06202265,Off T,False
wc2022,3857271,2022-11-21,Group Stage,England,Iran,Marcus Rashford,Right Wing,2,83,5,Regular Play,Open Play,Left Foot,Normal,False,False,False,0.0776978,Blocked,False
