competition,match_id,match_date,stage,home_team,away_team,home_score,away_score,result
weuro2025,3998853,2025-07-10,Group Stage,Norway Women's,Iceland Women's,4,3,home
weuro2025,3998838,2025-07-03,Group Stage,Belgium Women's,Italy Women's,0,1,away
weuro2025,3998841,2025-07-04,Group Stage,Denmark Women's,Sweden Women's,0,1,away
weuro2025,3998837,2025-07-02,Group Stage,Switzerland Women's,Norway Women's,1,2,away
weuro2025,4020846,2025-07-27,Final,England Women's,Spain Women's,1,1,draw
weuro2025,4020077,2025-07-23,Semi-finals,Germany Women's,Spain Women's,0,1,away
weuro2025,4020005,2025-07-22,Semi-finals,England Women's,Italy Women's,2,1,home
weuro2025,4018357,2025-07-19,Quarter-finals,France Women's,Germany Women's,1,1,draw
weuro2025,4018356,2025-07-18,Quarter-finals,Spain Women's,Switzerland Women's,2,0,home
weuro2025,4018355,2025-07-17,Quarter-finals,Sweden Women's,England Women's,2,2,draw
weuro2025,4018354,2025-07-16,Quarter-finals,Norway Women's,Italy Women's,1,2,away
weuro2025,3998858,2025-07-13,Group Stage,England Women's,Wales W,6,1,home
weuro2025,3998859,2025-07-13,Group Stage,Netherlands Women's,France Women's,2,5,away
weuro2025,3998857,2025-07-12,Group Stage,Poland Women's,Denmark Women's,3,2,home
weuro2025,3998856,2025-07-12,Group Stage,Sweden Women's,Germany Women's,4,1,home
weuro2025,3998855,2025-07-11,Group Stage,Italy Women's,Spain Women's,1,3,away
weuro2025,3998854,2025-07-11,Group Stage,Portugal Women's,Belgium Women's,1,2,away
weuro2025,3998852,2025-07-10,Group Stage,WNT Finland,Switzerland Women's,1,1,draw
weuro2025,3998851,2025-07-09,Group Stage,England Women's,Netherlands Women's,4,0,home
weuro2025,3998850,2025-07-09,Group Stage,France Women's,Wales W,4,1,home
weuro2025,3998848,2025-07-08,Group Stage,Poland Women's,Sweden Women's,0,3,away
weuro2025,3998849,2025-07-08,Group Stage,Germany Women's,Denmark Women's,2,1,home
weuro2025,3998846,2025-07-07,Group Stage,Portugal Women's,Italy Women's,1,1,draw
weuro2025,3998847,2025-07-07,Group Stage,Spain Women's,Belgium Women's,6,2,home
weuro2025,3998844,2025-07-06,Group Stage,Switzerland Women's,Iceland Women's,2,0,home
weuro2025,3998845,2025-07-06,Group Stage,Norway Women's,WNT Finland,2,1,home
weuro2025,3998842,2025-07-05,Group Stage,Wales W,Netherlands Women's,0,3,away
weuro2025,3998843,2025-07-05,Group Stage,France Women's,England Women's,2,1,home
weuro2025,3998840,2025-07-04,Group Stage,Germany Women's,Poland Women's,2,0,home
weuro2025,3998839,2025-07-03,Group Stage,Spain Women's,Portugal Women's,5,0,home
weuro2025,3998836,2025-07-02,Group Stage,Iceland Women's,WNT Finland,0,1,away
