competition,match_id,match_date,stage,team,opponent,player,position,period,minute,second,play_pattern,shot_type,body_part,technique,first_time,under_pressure,one_on_one,statsbomb_xg,outcome,goal
weuro2025,3998853,2025-07-10,Group Stage,Iceland Women's,Norway Women's,Alexandra Jóhannsdóttir,Right Defensive Midfield,1,0,42,From Throw In,Open Play,Right Foot,Half Volley,True,True,False,0.013147669,Off T,False
weuro2025,3998853,2025-07-10,Group Stage,Iceland Women's,Norway Women's,Katla Tryggvadóttir,Left Wing,1,5,7,Regular Play,Open Play,Right Foot,Normal,True,False,False,0.24875748,Saved,False
weuro2025,3998853,2025-07-10,Group Stage,Iceland Women's,Norway Women's,Sveindís Jane Jónsdóttir,Right Wing,1,5,9,From Counter,Open Play,Right Foot,Half Volley,True,True,False,0.13006437,Blocked,False
weuro2025,3998853,2025-07-10,Group Stage,Iceland Women's,Norway Women's,Alexandra Jóhannsdóttir,Right Defensive Midfield,1,5,54,From Corner,Open Play,Head,Normal,False,False,False,0.034556407,Saved to Post,False
weuro2025,3998853,2025-07-10,Group Stage,Iceland Women's,Norway Women's,Sveindís Jane Jónsdóttir,Right Wing,1,5,56,From Corner,Open Play,Left Foot,Half Volley,True,True,False,0.47674507,Goal,True
weuro2025,3998853,2025-07-10,Group Stage,Norway Women's,Iceland Women's,Signe Gaupset,Left Wing,1,13,20,Regular Play,Open Play,Right Foot,Normal,False,True,False,0.046329156,Blocked,False
weuro2025,3998853,2025-07-10,Group Stage,Norway Women's,Iceland Women's,Signe Gaupset,Left Wing,1,14,5,From Corner,Open Play,Right Foot,Volley,True,True,False,0.057025556,Goal,True
weuro2025,3998853,2025-07-10,Group Stage,Norway Women's,Iceland Women's,Elisabeth Terland,Center Forward,1,22,46,From Throw In,Open Play,Right Foot,Normal,False,False,False,0.036546215,Blocked,False
weuro2025,3998853,2025-07-10,Group Stage,Norway Women's,Iceland Women's,Elisabeth Terland,Center Forward,1,23,48,Regular Play,Open Play,Left Foot,Normal,False,True,False,0.10500978,Saved,False
weuro2025,3998853,2025-07-10,Group Stage,Norway Women's,Iceland Women's,Frida Maanum,Center Attacking Midfield,1,25,6,Regular Play,Open Play,Right Foot,Normal,True,False,False,0.032065924,Off T,False
weuro2025,3998853,2025-07-10,Group Stage,Norway Women's,Iceland Women's,Signe Gaupset,Left Wing,1,25,37,From Counter,Open Play,Left Foot,Normal,False,True,False,0.030959195,Goal,True
weuro2025,3998853,2025-07-10,Group Stage,Iceland Women's,Norway Women's,Sveindís Jane Jónsdóttir,Right Wing,1,29,19,From Throw In,Open Play,Right Foot,Normal,True,True,False,0.010127992,Blocked,False
weuro2025,3998853,2025-07-10,Group Stage,Norway Women's,Iceland Women's,Elisabeth Terland,Center Forward,1,31,54,From Counter,Open Play,Right Foot,Normal,False,True,False,0.030938651,Off T,False
weuro2025,3998853,2025-07-10,Group Stage,Norway Women's,Iceland Women's,Frida Maanum,Center Attacking Midfield,2,48,45,From Throw In,Open Play,Left Foot,Normal,False,False,False,0.3819168,Goal,True
weuro2025,3998853,2025-07-10,Group Stage,Iceland Women's,Norway Women's,Sveindís Jane Jónsdóttir,Right Wing,2,53,17,Regular Play,Open Play,Right Foot,Normal,False,True,False,0.03830135,Off T,False
weuro2025,3998853,2025-07-10,Group Stage,Norway Women's,Iceland Women's,Justine Kvaleng Kielland,Left Defensive Midfield,2,57,51,From Throw In,Open Play,Right Foot,Normal,True,False,False,0.038265567,Blocked,False
weuro2025,3998853,2025-07-10,Group Stage,Norway Women's,Iceland Women's,Frida Maanum,Center Attacking Midfield,2,67,2,Regular Play,Open Play,Right Foot,Normal,True,False,False,0.07279213,Saved,False
weuro2025,3998853,2025-07-10,Group Stage,Norway Women's,Iceland Women's,Frida Maanum,Center Attacking Midfield,2,67,43,From Corner,Open Play,Left Foot,Backheel,True,False,False,0.085155696,Blocked,False
weuro2025,3998853,2025-07-10,Group Stage,Iceland Women's,Norway Women's,Sandra María Jessen,Center Forward,2,70,30,Regular Play,Open Play,Right Foot,Normal,True,False,False,0.023828445,Off T,False
weuro2025,3998853,2025-07-10,Group Stage,Norway Women's,Iceland Women's,Frida Maanum,Center Attacking Midfield,2,75,3,Regular Play,Open Play,Left Foot,Normal,False,False,False,0.07051889,Goal,True
weuro2025,3998853,2025-07-10,Group Stage,Norway Women's,Iceland Women's,Synne Jensen,Left Wing,2,76,51,From Throw In,Open Play,Right Foot,Normal,False,False,False,0.03071077,Saved,False
weuro2025,3998853,2025-07-10,Group Stage,Norway Women's,Iceland Women's,Frida Maanum,Center Attacking Midfield,2,79,37,From Throw In,Open Play,Right Foot,Normal,False,True,False,0.15232103,Off T,False
weuro2025,3998853,2025-07-10,Group Stage,Norway Women's,Iceland Women's,Synne Jensen,Left Wing,2,80,54,From Counter,Open Play,Left Foot,Normal,False,False,False,0.102851585,Blocked,False
weuro2025,3998853,2025-07-10,Group Stage,Iceland Women's,Norway Women's,Hlín Eiríksdóttir,Center Forward,2,83,55,From Counter,Open Play,Right Foot,Normal,True,False,False,0.4171032,Goal,True
weuro2025,3998853,2025-07-10,Group Stage,Iceland Women's,Norway Women's,Glódís Perla Viggósdóttir,Right Center Back,2,94,46,Other,Penalty,Right Foot,Normal,False,False,False,0.7835,Goal,True
weuro2025,3998838,2025-07-03,Group Stage,Belgium Women's,Italy Women's,Tessa Wullaert,Right Center Forward,1,1,45,Regular Play,Open Play,Right Foot,Normal,True,False,False,0.017415643,Saved Off Target,False
weuro2025,3998838,2025-07-03,Group Stage,Italy Women's,Belgium Women's,Cecilia Salvai,Center Back,1,5,1,From Free Kick,Open Play,Other,Normal,False,False,False,0.097843766,Saved,False
weuro2025,3998838,2025-07-03,Group Stage,Belgium Women's,Italy Women's,Tessa Wullaert,Right Center Forward,1,6,30,From Keeper,Open Play,Left Foot,Normal,False,False,False,0.041355614,Blocked,False
weuro2025,3998838,2025-07-03,Group Stage,Italy Women's,Belgium Women's,Manuela Giugliano,Center Defensive Midfield,1,8,30,Regular Play,Open Play,Right Foot,Normal,False,True,False,0.021615006,Blocked,False
